Point;Latitude;Longitude;Contexte;Integration;NORTAV;NORTNAV;NORTXAV;NORTRAV;NORTXQ90;NORTXQ10;NORTNQ10;NORTNQ90;NORTXND;NORTNND;NORTNHT;NORTXHWD;NORTNCWD;NORTNFD;NORTXFD;NORSD;NORTR;NORHDD;NORCDD;
11749;47.3605;-2.3792;RCP8.5;H1;12.76;9.14;16.39;7.25;25.02;8.57;1.85;15.56;45;15;49;12;1;21;1;35;3;1819.03;193.93;
11750;47.3648;-2.2735;RCP8.5;H1;12.84;9.2;16.48;7.28;25.11;8.67;1.9;15.66;45;15;49;12;1;20;1;36;3;1797.37;200.32;
11751;47.369;-2.1677;RCP8.5;H1;12.84;9.21;16.47;7.27;25.13;8.68;1.93;15.68;44;15;47;11;1;20;1;36;3;1802.58;204.52;
11752;47.373;-2.062;RCP8.5;H1;12.83;9.2;16.45;7.25;25.17;8.59;1.95;15.68;44;14;46;10;1;19;1;36;3;1808.63;204.54;
11753;47.377;-1.9562;RCP8.5;H1;12.62;8.73;16.51;7.78;25.85;7.87;1.31;15.48;55;14;49;14;1;24;1;42;3;1903.82;222.34;
11754;47.3809;-1.8504;RCP8.5;H1;12.5;8.61;16.38;7.77;25.83;7.72;1.23;15.28;54;14;49;14;2;25;2;43;3;1938.88;215.02;
11755;47.3847;-1.7446;RCP8.5;H1;12.6;8.71;16.48;7.77;25.91;7.85;1.3;15.43;54;14;49;14;2;24;2;43;4;1911.11;222.45;
11756;47.3884;-1.6388;RCP8.5;H1;12.71;8.83;16.59;7.76;26.05;7.93;1.42;15.56;54;14;49;13;1;24;1;45;4;1883.39;231.7;
11757;47.392;-1.5329;RCP8.5;H1;12.84;8.95;16.73;7.78;26.2;8.07;1.48;15.78;55;14;51;14;1;23;1;48;4;1850.72;244;
11758;47.3954;-1.4271;RCP8.5;H1;12.78;8.9;16.67;7.77;26.15;8;1.45;15.7;55;14;50;14;1;23;1;47;4;1865.29;239.41;
11759;47.3988;-1.3212;RCP8.5;H1;12.73;8.85;16.61;7.77;26.11;7.9;1.41;15.66;55;13;51;14;1;24;1;47;4;1882.47;238.07;
11760;47.4021;-1.2153;RCP8.5;H1;12.73;8.85;16.61;7.75;26.09;7.96;1.45;15.66;54;13;50;13;2;23;1;47;4;1882.65;237.97;
11761;47.4053;-1.1095;RCP8.5;H1;12.7;8.82;16.57;7.75;26.06;7.92;1.42;15.62;55;13;50;13;2;23;1;46;4;1891.7;235.43;
11762;47.4085;-1.0036;RCP8.5;H1;12.61;8.75;16.48;7.73;25.92;7.82;1.31;15.57;54;14;49;14;2;24;2;45;4;1914.71;229.49;
11763;47.4115;-0.8976;RCP8.5;H1;12.69;8.78;16.6;7.82;26.17;7.69;1.26;15.69;58;14;50;14;1;24;2;49;4;1904.33;241.85;
11764;47.4144;-0.7917;RCP8.5;H1;12.62;8.71;16.53;7.82;26.14;7.61;1.22;15.61;58;13;50;14;1;24;2;48;4;1921.54;237.07;
11765;47.4172;-0.6858;RCP8.5;H1;12.58;8.73;16.44;7.71;26.12;7.35;1.19;15.7;58;13;49;14;1;24;3;48;4;1939.18;239.4;
11766;47.4199;-0.5798;RCP8.5;H1;12.99;9.25;16.72;7.47;26.35;7.67;1.65;16.32;60;14;50;15;1;20;2;53;6;1834.51;273.86;
11767;47.4225;-0.4739;RCP8.5;H1;13.03;9.32;16.75;7.43;26.37;7.72;1.7;16.36;60;13;50;16;1;19;2;53;6;1825.94;280.05;
11768;47.4251;-0.3679;RCP8.5;H1;13.07;9.35;16.8;7.45;26.44;7.76;1.79;16.41;60;13;51;16;2;19;2;53;6;1811.16;281.08;
